time,interArrival,dimmer,servers,response,concept,segment,queue
10.0,85.066666666695,1.0,4.0,0.110106531857604,1,1,0.0
11.0,86.9666666666435,1.0,3.0,1.99115709497748,1,1,0.0
12.0,88.3333333333127,1.0,4.0,1.95098710969796,1,1,34.0
13.0,86.0666666667212,1.0,5.0,0.0487303586676562,1,1,0.0
14.0,75.8666666666439,1.0,4.0,0.0579978905720463,1,1,0.0
15.0,72.7333333333818,1.0,3.0,0.498523344679127,1,1,0.0
16.0,78.7666666666745,1.0,2.0,7.25762488297824,1,1,0.0
17.0,87.3666666667424,1.0,3.0,10.0135017140669,1,1,448.0
18.0,84.5666666666808,1.0,4.0,6.76040164396804,1,1,257.0
19.0,76.7666666666667,1.0,5.0,1.08440964879363,1,1,51.0
20.0,90.9666666666697,0.75,5.0,0.0340442652466003,1,1,0.0
21.0,82.7000000000441,1.0,5.0,0.0496631064301358,1,1,0.0
22.0,80.5666666666371,1.0,4.0,0.0809967314757968,1,1,0.0
23.0,83.4333333333111,1.0,3.0,2.3695135289262,1,1,0.0
24.0,86.4333333332901,1.0,4.0,2.14611262875835,1,1,58.0
25.0,88.1000000000617,1.0,5.0,0.0819271944118842,1,1,0.0
26.0,80.4333333333548,1.0,4.0,0.0710869501644422,1,1,0.0
27.0,80.0333333333067,1.0,3.0,1.02026810512737,1,1,0.0
28.0,78.0999999999896,1.0,4.0,0.311828745940603,1,1,0.0
29.0,82.5333333333498,1.0,3.0,3.70626343950775,1,1,0.0
30.0,96.5333333333752,1.0,4.0,6.02954603320093,1,1,133.0
31.0,91.3000000000304,1.0,5.0,1.66541483245795,1,1,65.0
32.0,95.7000000001053,0.75,5.0,0.0393597163836845,1,1,0.0
33.0,96.4000000000129,1.0,5.0,0.0586938239263624,1,1,0.0
34.0,89.2666666665982,1.0,4.0,0.08447220441644,1,1,0.0
35.0,86.0333333333333,1.0,3.0,3.19441058807657,1,1,0.0
36.0,96.1999999999455,1.0,4.0,5.76691072199878,1,1,93.0
37.0,98.0333333333366,1.0,5.0,2.54865566533141,1,1,53.0
38.0,90.2333333333424,0.75,5.0,0.0400029654529625,1,1,0.0
39.0,92.4999999999661,1.0,5.0,0.0523607016247286,1,1,0.0
40.0,87.4333333333654,1.0,4.0,0.0842167326250371,1,1,0.0
41.0,84.0666666665714,1.0,3.0,1.90037756917661,1,1,0.0
42.0,84.5999999999803,1.0,4.0,0.77308986108964,1,1,0.0
43.0,91.800000000104,1.0,5.0,0.135002697500153,1,1,0.0
44.0,100.933333333327,1.0,4.0,0.0932259534476279,1,1,0.0
45.0,86.4666666666407,1.0,3.0,1.81317128776962,1,1,0.0
46.0,87.6666666666491,1.0,4.0,2.22477080145328,1,1,36.0
47.0,86.6666666667158,1.0,5.0,0.0495171634046661,1,1,0.0
48.0,82.7666666666308,1.0,4.0,0.0803558431110175,1,1,0.0
49.0,85.6333333333019,1.0,3.0,2.53458638900409,1,1,0.0
50.0,86.866666666684,1.0,4.0,3.26451507940724,1,1,50.0
51.0,97.8666666667058,1.0,5.0,0.646225729417724,1,1,16.0
52.0,101.933333333395,1.0,4.0,0.262408326022326,1,1,0.0
53.0,99.2999999999702,1.0,3.0,4.60540324721002,1,1,0.0
54.0,101.400000000047,1.0,4.0,7.83710063503953,1,1,192.0
55.0,105.300000000014,1.0,5.0,5.57177181020616,1,1,192.0
56.0,97.733333333278,0.75,5.0,0.437428181883668,1,1,0.0
57.0,94.3999999999937,1.0,5.0,0.0639331980058427,1,1,0.0
58.0,95.133333333308,1.0,4.0,0.12354639700822,1,1,0.0
59.0,92.033333333318,1.0,3.0,3.82709188643768,1,1,0.0
60.0,99.5999999998904,1.0,4.0,6.94829861309197,1,1,133.0
61.0,99.4999999999635,1.0,5.0,3.44911962644713,1,1,98.0
62.0,100.466666666596,0.75,5.0,0.0470054479867011,1,1,0.0
63.0,102.000000000027,1.0,5.0,0.0544228683423898,1,1,0.0
64.0,88.6000000000089,1.0,4.0,0.112294975648313,1,1,0.0
65.0,91.2999999999757,1.0,3.0,2.63623798952702,1,1,0.0
66.0,89.8333333333603,1.0,4.0,3.93943009778637,1,1,62.0
67.0,94.8666666667173,1.0,5.0,0.650859571383705,1,1,0.0
68.0,97.9000000000065,1.0,4.0,0.153040159575464,1,1,0.0
69.0,93.9999999999655,1.0,3.0,3.91064945029219,1,1,0.0
70.0,93.9333333333521,1.0,4.0,4.5512165381307,1,1,91.0
71.0,90.8000000000061,1.0,5.0,0.5488472368636,1,1,0.0
72.0,94.0000000000721,1.0,4.0,0.956869621734717,1,1,0.0
73.0,105.633333333291,1.0,5.0,0.357991369421525,1,1,0.0
74.0,103.166666666663,1.0,4.0,0.170898967322724,1,1,0.0
75.0,98.0999999999575,1.0,3.0,4.71634654519425,1,1,0.0
76.0,105.366666666705,1.0,4.0,9.08171106209474,1,1,208.0
77.0,108.366666666728,1.0,5.0,7.54496108911102,1,1,209.0
78.0,106.133333333365,0.75,5.0,2.05371518321227,1,1,51.0
79.0,97.0333333333818,0.5,5.0,0.0219949394618132,1,1,0.0
80.0,91.0999999999757,0.75,5.0,0.0352523578470407,1,1,0.0
81.0,91.0333333332969,1.0,5.0,0.0554758705668656,1,1,0.0
